PlateVoltage,0V,-0.5V,-1.0V,-1.5V,-2.0V,-2.5V,-3.0V,-3.5V,-4.0V,-5.0V
66.271,0.0161658,0.013084,0.0101274,0.0077356,0.0058521,0.0045206,0.0031082,0.001995,0.0012017,0.0002395
66.954,0.016174,0.0130933,0.0101311,0.0077384,0.005855,0.0045234,0.0031101,0.0019962,0.0012011,0.0002381
67.637,0.0161821,0.0131026,0.0101348,0.0077411,0.0058578,0.0045263,0.0031121,0.0019974,0.0012006,0.0002368
68.32,0.0161902,0.0131119,0.0101385,0.0077439,0.0058606,0.0045292,0.0031141,0.0019986,0.0012,0.0002354
69.003,0.0161983,0.0131212,0.0101422,0.0077466,0.0058635,0.004532,0.0031161,0.0019998,0.0011995,0.000234
69.686,0.0162065,0.0131305,0.010146,0.0077494,0.0058663,0.0045349,0.0031181,0.002001,0.0011989,0.0002326
70.369,0.0162146,0.0131364,0.0101497,0.0077521,0.0058691,0.0045378,0.0031201,0.0020021,0.0011984,0.0002313
71.053,0.0162227,0.0131423,0.0101534,0.0077549,0.0058719,0.0045407,0.0031221,0.0020033,0.0011979,0.0002299
71.736,0.0162308,0.0131481,0.0101571,0.0077577,0.0058748,0.0045435,0.0031241,0.0020045,0.0011973,0.0002285
72.419,0.0162389,0.013154,0.0101609,0.0077604,0.0058776,0.0045464,0.003126,0.0020057,0.0011968,0.0002272
73.102,0.0162471,0.0131599,0.0101646,0.0077632,0.0058804,0.0045493,0.003128,0.0020069,0.0011962,0.0002258
73.785,0.0162552,0.0131658,0.0101683,0.0077659,0.0058833,0.0045521,0.00313,0.0020081,0.0011957,0.0002244
74.468,0.0162633,0.0131716,0.010172,0.0077687,0.0058861,0.004555,0.003132,0.0020093,0.0011951,0.0002231
75.151,0.0162714,0.0131775,0.0101757,0.0077714,0.0058889,0.0045579,0.003134,0.0020105,0.0011946,0.0002217
75.834,0.0162795,0.0131834,0.0101795,0.0077742,0.0058917,0.0045607,0.003136,0.0020116,0.001194,0.0002203
76.518,0.0162877,0.0131892,0.0101832,0.0077769,0.0058946,0.0045636,0.003138,0.0020128,0.0011935,0.000219
77.201,0.0162958,0.0131951,0.0101869,0.0077797,0.0058974,0.0045665,0.00314,0.002014,0.001193,0.0002176
77.884,0.0163039,0.013201,0.0101906,0.0077824,0.0059002,0.0045693,0.0031419,0.0020152,0.0011924,0.0002162
78.567,0.016312,0.0132069,0.0101944,0.0077852,0.0059031,0.0045722,0.0031439,0.0020164,0.0011919,0.0002149
79.25,0.0163202,0.0132115,0.0101981,0.0077879,0.0059059,0.0045751,0.0031459,0.0020176,0.0011913,0.0002135
79.933,0.0163252,0.0132148,0.0102008,0.0077907,0.0059087,0.0045779,0.0031479,0.0020182,0.0011908,0.0002121
80.616,0.0163293,0.013218,0.0102033,0.0077936,0.0059115,0.0045785,0.003149,0.0020168,0.0011907,0.0002121
81.299,0.0163334,0.0132213,0.0102057,0.0077965,0.0059144,0.0045788,0.0031502,0.0020154,0.001191,0.0002124
81.983,0.0163375,0.0132245,0.0102082,0.0077994,0.0059172,0.0045791,0.0031514,0.002014,0.0011914,0.0002127
82.666,0.0163416,0.0132278,0.0102106,0.0078023,0.00592,0.0045794,0.0031525,0.0020126,0.0011917,0.000213
83.349,0.0163458,0.013231,0.010213,0.0078053,0.0059229,0.0045797,0.0031537,0.0020112,0.001192,0.0002134
84.032,0.0163499,0.0132343,0.0102155,0.0078082,0.0059257,0.00458,0.0031548,0.0020098,0.0011923,0.0002137
84.715,0.016354,0.0132375,0.0102179,0.0078111,0.0059285,0.0045803,0.003156,0.0020084,0.0011926,0.000214
85.398,0.0163581,0.0132408,0.0102204,0.007814,0.0059313,0.0045806,0.0031572,0.002007,0.0011929,0.0002143
86.081,0.0163622,0.013244,0.0102228,0.0078169,0.0059342,0.004581,0.0031583,0.0020056,0.0011932,0.0002146
86.764,0.0163663,0.0132473,0.0102253,0.0078198,0.005937,0.0045813,0.0031595,0.0020042,0.0011935,0.0002149
87.447,0.0163705,0.0132505,0.0102277,0.0078227,0.0059398,0.0045816,0.0031606,0.0020028,0.0011938,0.0002152
88.131,0.0163746,0.0132538,0.0102301,0.0078256,0.0059427,0.0045819,0.0031618,0.0020014,0.0011941,0.0002155
88.814,0.0163787,0.013257,0.0102326,0.0078285,0.0059455,0.0045822,0.003163,0.002,0.0011944,0.0002158
89.497,0.0163828,0.0132603,0.010235,0.0078314,0.0059483,0.0045825,0.0031641,0.0019986,0.0011947,0.0002161
