PlateVoltage,0V,-1V,-2V,-3V,-4V,-5V,-6V,-7V,-8V,-9V,-10V,-11V,-12V
52.815,0.0055722,0.001321,0.0001865,5.83e-05,2.84e-05,7.82e-05,-0.001369,6.15e-05,6.46e-05,9.61e-05,0.0001063,0.000148,0.0001219
53.428,0.0056461,0.0013639,0.0002025,5.69e-05,2.78e-05,7.78e-05,-0.0013613,6.01e-05,6.44e-05,9.58e-05,0.000106,0.0001476,0.0001219
54.041,0.00572,0.0014068,0.0002184,5.54e-05,2.72e-05,7.74e-05,-0.0013535,5.87e-05,6.42e-05,9.54e-05,0.0001058,0.0001472,0.0001219
54.654,0.0057939,0.0014498,0.0002344,5.39e-05,2.66e-05,7.7e-05,-0.0013457,5.72e-05,6.4e-05,9.51e-05,0.0001056,0.0001468,0.0001218
55.267,0.0058678,0.0014927,0.0002503,5.25e-05,2.6e-05,7.67e-05,-0.0013379,5.58e-05,6.38e-05,9.48e-05,0.0001054,0.0001464,0.0001218
55.88,0.0059417,0.0015356,0.0002663,5.1e-05,2.54e-05,7.63e-05,-0.0013302,5.44e-05,6.36e-05,9.44e-05,0.0001052,0.000146,0.0001217
56.493,0.0060155,0.0015785,0.0002822,4.96e-05,2.48e-05,7.59e-05,-0.0013224,5.29e-05,6.35e-05,9.41e-05,0.0001049,0.0001456,0.0001217
57.106,0.0060894,0.0016215,0.0002982,4.81e-05,2.42e-05,7.55e-05,-0.0013146,5.15e-05,6.33e-05,9.38e-05,0.0001047,0.0001451,0.0001216
57.719,0.0061691,0.0016644,0.0003141,4.67e-05,2.36e-05,7.51e-05,-0.0013068,5.01e-05,6.31e-05,9.34e-05,0.0001045,0.0001447,0.0001216
58.332,0.0062586,0.0017073,0.0003301,4.52e-05,2.3e-05,7.47e-05,-0.001299,4.86e-05,6.29e-05,9.31e-05,0.0001043,0.0001443,0.0001215
58.946,0.006348,0.0017502,0.000346,4.38e-05,2.24e-05,7.43e-05,-0.0012913,4.72e-05,6.27e-05,9.27e-05,0.0001041,0.0001439,0.0001215
59.559,0.0064374,0.0017932,0.000362,4.23e-05,2.18e-05,7.39e-05,-0.0012835,4.58e-05,6.26e-05,9.24e-05,0.0001038,0.0001435,0.0001214
60.172,0.0065268,0.0018361,0.0003779,4.09e-05,2.12e-05,7.35e-05,-0.0012757,4.43e-05,6.24e-05,9.21e-05,0.0001036,0.0001431,0.0001214
60.785,0.0066162,0.0018818,0.0003939,3.94e-05,2.06e-05,7.31e-05,-0.0012679,4.29e-05,6.22e-05,9.17e-05,0.0001034,0.0001427,0.0001213
61.398,0.0067056,0.0019403,0.0004098,3.8e-05,2e-05,7.27e-05,-0.0012602,4.15e-05,6.2e-05,9.14e-05,0.0001032,0.0001423,0.0001213
62.011,0.006795,0.0019988,0.0004257,3.65e-05,1.94e-05,7.23e-05,-0.0012524,4e-05,6.18e-05,9.1e-05,0.000103,0.0001419,0.0001212
62.624,0.0068844,0.0020573,0.0004417,3.51e-05,1.88e-05,7.19e-05,-0.0012446,3.86e-05,6.16e-05,9.07e-05,0.0001027,0.0001415,0.0001212
63.237,0.0069738,0.0021159,0.0004576,3.36e-05,1.82e-05,7.15e-05,-0.0012368,3.72e-05,6.15e-05,9.04e-05,0.0001025,0.000141,0.0001211
63.85,0.0070632,0.0021744,0.0004736,3.22e-05,1.76e-05,7.11e-05,-0.0012291,3.57e-05,6.13e-05,9e-05,0.0001023,0.0001406,0.0001211
64.463,0.0071526,0.0022329,0.0004895,3.12e-05,1.7e-05,7.07e-05,-0.0012213,3.43e-05,6.11e-05,8.97e-05,0.0001021,0.0001402,0.000121
65.076,0.0072421,0.0022914,0.0005055,3.35e-05,1.64e-05,7.03e-05,-0.0012135,3.28e-05,6.09e-05,8.94e-05,0.0001019,0.0001398,0.000121
65.69,0.0073315,0.0023499,0.0005214,3.59e-05,1.58e-05,6.99e-05,-0.0012057,3.14e-05,6.07e-05,8.9e-05,0.0001016,0.0001394,0.0001209
66.303,0.0074209,0.0024084,0.0005374,3.82e-05,1.52e-05,6.95e-05,-0.001198,3e-05,6.06e-05,8.87e-05,0.0001014,0.000139,0.0001209
66.916,0.0075103,0.0024669,0.0005533,4.06e-05,1.46e-05,6.91e-05,-0.0011902,2.85e-05,6.04e-05,8.83e-05,0.0001012,0.0001386,0.0001208
67.529,0.0075997,0.0025254,0.0005693,4.29e-05,1.4e-05,6.87e-05,-0.0011824,2.71e-05,6.02e-05,8.8e-05,0.000101,0.0001382,0.0001208
68.142,0.0076891,0.002584,0.0005852,4.53e-05,1.34e-05,6.83e-05,-0.0011746,2.57e-05,6e-05,8.77e-05,0.0001008,0.0001378,0.0001207
68.755,0.0077785,0.0026425,0.0006012,4.76e-05,1.28e-05,6.79e-05,-0.0011668,2.42e-05,5.98e-05,8.73e-05,0.0001005,0.0001374,0.0001207
69.368,0.0078679,0.002701,0.0006171,5e-05,1.22e-05,6.76e-05,-0.0011591,2.28e-05,5.96e-05,8.7e-05,0.0001003,0.000137,0.0001206
69.981,0.0079573,0.0027595,0.0006331,5.23e-05,1.16e-05,6.72e-05,-0.0011513,2.14e-05,5.95e-05,8.66e-05,0.0001001,0.0001365,0.0001206
70.594,0.0080467,0.002818,0.000649,5.47e-05,1.1e-05,6.68e-05,-0.0011435,1.99e-05,5.93e-05,8.63e-05,9.99e-05,0.0001361,0.0001205
71.207,0.0081361,0.0028765,0.0006709,5.7e-05,1.04e-05,6.64e-05,-0.0011357,1.85e-05,5.91e-05,8.6e-05,9.97e-05,0.0001357,0.0001205
71.82,0.0082256,0.002935,0.0007019,5.94e-05,9.8e-06,6.6e-05,-0.001128,1.71e-05,5.89e-05,8.56e-05,9.94e-05,0.0001353,0.0001204
72.433,0.008315,0.0029935,0.0007329,6.18e-05,9.2e-06,6.56e-05,-0.0011202,1.56e-05,5.87e-05,8.53e-05,9.92e-05,0.0001349,0.0001204
73.047,0.0084044,0.0030521,0.0007639,6.41e-05,8.6e-06,6.52e-05,-0.0011124,1.42e-05,5.86e-05,8.5e-05,9.9e-05,0.0001345,0.0001204
73.66,0.0084969,0.0031106,0.0007949,6.65e-05,7.9e-06,6.48e-05,-0.0011046,1.28e-05,5.84e-05,8.46e-05,9.88e-05,0.0001341,0.0001203
74.273,0.0085973,0.0031691,0.0008259,6.88e-05,7.3e-06,6.44e-05,-0.0010969,1.13e-05,5.82e-05,8.43e-05,9.86e-05,0.0001337,0.0001203
74.886,0.0086977,0.0032276,0.0008569,7.12e-05,6.7e-06,6.4e-05,-0.0010891,9.9e-06,5.8e-05,8.39e-05,9.83e-05,0.0001333,0.0001202
75.499,0.0087981,0.0032861,0.0008879,7.35e-05,6.1e-06,6.36e-05,-0.0010813,8.5e-06,5.78e-05,8.36e-05,9.81e-05,0.0001329,0.0001202
76.112,0.0088985,0.0033446,0.0009189,7.59e-05,5.5e-06,6.32e-05,-0.0010735,7e-06,5.76e-05,8.33e-05,9.79e-05,0.0001324,0.0001201
76.725,0.0089989,0.0034031,0.0009499,7.82e-05,4.9e-06,6.28e-05,-0.0010658,5.6e-06,5.75e-05,8.29e-05,9.77e-05,0.000132,0.0001201
77.338,0.0090993,0.0034616,0.0009809,8.06e-05,4.3e-06,6.24e-05,-0.001058,4.2e-06,5.73e-05,8.26e-05,9.75e-05,0.0001316,0.00012
77.951,0.0091997,0.0035202,0.0010119,8.29e-05,3.7e-06,6.2e-05,-0.0010502,2.7e-06,5.71e-05,8.23e-05,9.72e-05,0.0001312,0.00012
78.564,0.0093001,0.003592,0.0010428,8.53e-05,3.1e-06,6.16e-05,-0.0010424,1.3e-06,5.69e-05,8.19e-05,9.7e-05,0.0001308,0.0001199
79.177,0.0094005,0.0036668,0.0010738,8.76e-05,2.5e-06,6.12e-05,-0.0010346,-1e-07,5.67e-05,8.16e-05,9.68e-05,0.0001304,0.0001199
79.79,0.0095009,0.0037416,0.0011048,9e-05,1.9e-06,6.08e-05,-0.0010269,-1.6e-06,5.66e-05,8.12e-05,9.66e-05,0.00013,0.0001198
80.404,0.0096013,0.0038165,0.0011358,9.23e-05,1.3e-06,6.04e-05,-0.0010191,-3e-06,5.64e-05,8.09e-05,9.64e-05,0.0001296,0.0001198
81.017,0.0097017,0.0038913,0.0011668,9.47e-05,7e-07,6e-05,-0.0010113,-4.5e-06,5.62e-05,8.06e-05,9.61e-05,0.0001292,0.0001197
81.63,0.0098021,0.0039661,0.0011978,9.7e-05,1e-07,5.96e-05,-0.0010035,-5.9e-06,5.6e-05,8.02e-05,9.59e-05,0.0001288,0.0001197
82.243,0.0099025,0.0040409,0.0012288,9.94e-05,-5e-07,5.92e-05,-0.0009958,-7.3e-06,5.58e-05,7.99e-05,9.57e-05,0.0001284,0.0001196
82.856,0.0100029,0.0041157,0.0012598,0.0001017,-1.1e-06,5.88e-05,-0.000988,-8.8e-06,5.56e-05,7.95e-05,9.55e-05,0.0001279,0.0001196
83.469,0.0101033,0.0041905,0.0012908,0.0001041,-1.7e-06,5.84e-05,-0.0009802,-1.02e-05,5.55e-05,7.92e-05,9.52e-05,0.0001275,0.0001195
84.082,0.0102037,0.0042653,0.0013218,0.0001064,-2.3e-06,5.81e-05,-0.0009724,-1.16e-05,5.53e-05,7.89e-05,9.5e-05,0.0001271,0.0001195
84.695,0.0103041,0.0043401,0.0013528,0.0001088,-2.9e-06,5.77e-05,-0.0009647,-1.31e-05,5.51e-05,7.85e-05,9.48e-05,0.0001267,0.0001194
85.308,0.0104045,0.0044149,0.0013838,0.0001111,-3.5e-06,5.73e-05,-0.0009569,-1.45e-05,5.49e-05,7.82e-05,9.46e-05,0.0001263,0.0001194
85.921,0.0105049,0.0044898,0.0014148,0.0001135,-4.1e-06,5.69e-05,-0.0009491,-1.59e-05,5.47e-05,7.79e-05,9.44e-05,0.0001259,0.0001193
86.534,0.0106053,0.0045646,0.0014457,0.0001158,-4.7e-06,5.65e-05,-0.0009413,-1.74e-05,5.46e-05,7.75e-05,9.41e-05,0.0001255,0.0001193
87.148,0.0107057,0.0046394,0.0014805,0.0001182,-5.3e-06,5.61e-05,-0.0009335,-1.88e-05,5.44e-05,7.72e-05,9.39e-05,0.0001251,0.0001192
87.761,0.0108061,0.0047142,0.001522,0.0001308,-5.9e-06,5.57e-05,-0.0009258,-2.02e-05,5.42e-05,7.68e-05,9.37e-05,0.0001247,0.0001192
88.374,0.0109065,0.004789,0.0015635,0.0001489,-6.5e-06,5.53e-05,-0.000918,-2.17e-05,5.4e-05,7.65e-05,9.35e-05,0.0001243,0.0001191
88.987,0.0110069,0.0048638,0.0016049,0.000167,-7.1e-06,5.49e-05,-0.0009102,-2.31e-05,5.38e-05,7.62e-05,9.33e-05,0.0001238,0.0001191
89.6,0.0111073,0.0049386,0.0016464,0.0001851,-7.7e-06,5.45e-05,-0.0009024,-2.45e-05,5.36e-05,7.58e-05,9.3e-05,0.0001234,0.000119
90.213,0.0112077,0.0050134,0.0016878,0.0002032,-8.3e-06,5.41e-05,-0.0008947,-2.6e-05,5.35e-05,7.55e-05,9.28e-05,0.000123,0.000119
