PlateVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
217.03,0.14541,0.11707,0.09129,0.06843,0.05011,0.0338,0.02094,0.01223,0.00624
218.41,0.14554,0.1172,0.09138,0.06847,0.05018,0.0338,0.02097,0.01227,0.00632
219.78,0.14567,0.11734,0.09146,0.06851,0.05025,0.03378,0.021,0.01232,0.00639
221.15,0.14579,0.11749,0.09154,0.06856,0.05032,0.03376,0.02103,0.01236,0.00646
222.53,0.14589,0.11765,0.09161,0.0686,0.05038,0.03373,0.02105,0.01239,0.00651
223.9,0.14598,0.11781,0.09169,0.06864,0.05045,0.0337,0.02108,0.01243,0.00654
225.27,0.14606,0.11797,0.09176,0.06868,0.05051,0.03367,0.02111,0.01246,0.00657
226.65,0.14612,0.11812,0.09183,0.06872,0.05056,0.03364,0.02114,0.01249,0.00659
228.02,0.14619,0.11827,0.09189,0.06877,0.05061,0.03361,0.02118,0.01251,0.0066
229.4,0.14627,0.1184,0.09196,0.06881,0.05066,0.03359,0.02121,0.01252,0.00661
230.77,0.14634,0.11852,0.09202,0.06886,0.05071,0.03358,0.02124,0.01253,0.00661
232.14,0.14642,0.11864,0.09208,0.06892,0.05075,0.03357,0.02128,0.01253,0.0066
233.52,0.1465,0.11874,0.09214,0.06897,0.05079,0.03358,0.02131,0.01252,0.0066
234.89,0.14658,0.11883,0.0922,0.06903,0.05082,0.0336,0.02135,0.0125,0.00659
236.26,0.14665,0.11891,0.09225,0.0691,0.05086,0.03363,0.02139,0.01247,0.00658
237.64,0.14672,0.11898,0.09231,0.06916,0.05089,0.03367,0.02142,0.01244,0.00656
239.01,0.14677,0.11905,0.09236,0.06924,0.05092,0.03371,0.02145,0.01241,0.00655
240.38,0.14683,0.11911,0.09242,0.06932,0.05094,0.03377,0.02149,0.01237,0.00653
241.76,0.14687,0.11917,0.09247,0.0694,0.05097,0.03382,0.02152,0.01234,0.0065
243.13,0.14692,0.11923,0.09253,0.06949,0.051,0.03388,0.02155,0.01231,0.00648
244.51,0.14696,0.11928,0.09258,0.06958,0.05102,0.03394,0.02158,0.01228,0.00645
245.88,0.147,0.11934,0.09264,0.06967,0.05105,0.034,0.0216,0.01226,0.00643
247.25,0.14703,0.11939,0.09269,0.06977,0.05107,0.03405,0.02163,0.01224,0.00639
