PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V,-40V,-45V,-50V
57.86,0.04567,0.01627,0.00254,-8e-05,-0.0001,-0.00027,-0.00026,-0.00015,-8e-05,5e-05,6e-05
58.46,0.04638,0.01665,0.00275,-0.0001,-0.0001,-0.00027,-0.00026,-0.00016,-0.0001,5e-05,6e-05
59.05,0.04709,0.01704,0.00297,-0.00012,-0.0001,-0.00027,-0.00026,-0.00016,-0.00011,5e-05,6e-05
59.64,0.04781,0.01745,0.00319,-0.00013,-0.0001,-0.00027,-0.00026,-0.00016,-0.00013,6e-05,6e-05
60.24,0.04853,0.01786,0.00343,-0.00015,-0.0001,-0.00027,-0.00025,-0.00017,-0.00014,6e-05,6e-05
60.83,0.04926,0.01829,0.00366,-0.00016,-0.0001,-0.00027,-0.00025,-0.00017,-0.00015,6e-05,6e-05
61.42,0.04998,0.01874,0.00391,-0.00017,-0.0001,-0.00026,-0.00024,-0.00018,-0.00017,6e-05,7e-05
62.02,0.05071,0.01919,0.00415,-0.00018,-0.0001,-0.00026,-0.00023,-0.00018,-0.00018,6e-05,7e-05
62.61,0.05145,0.01965,0.0044,-0.0002,-0.0001,-0.00026,-0.00023,-0.00018,-0.0002,6e-05,7e-05
63.2,0.05219,0.0201,0.00465,-0.00021,-0.0001,-0.00026,-0.00022,-0.00019,-0.00021,6e-05,7e-05
63.8,0.05293,0.02056,0.0049,-0.00021,-0.0001,-0.00026,-0.00021,-0.00019,-0.00023,6e-05,7e-05
64.39,0.05369,0.021,0.00514,-0.00022,-0.0001,-0.00026,-0.0002,-0.00019,-0.00024,6e-05,7e-05
64.98,0.05445,0.02144,0.00539,-0.00023,-9e-05,-0.00026,-0.00019,-0.0002,-0.00025,6e-05,7e-05
65.58,0.05523,0.02188,0.00564,-0.00023,-9e-05,-0.00025,-0.00019,-0.0002,-0.00027,6e-05,7e-05
66.17,0.05602,0.02231,0.00589,-0.00023,-9e-05,-0.00025,-0.00018,-0.0002,-0.00028,6e-05,7e-05
66.76,0.05683,0.02274,0.00613,-0.00023,-8e-05,-0.00025,-0.00017,-0.0002,-0.0003,6e-05,7e-05
67.36,0.05766,0.02317,0.00637,-0.00023,-8e-05,-0.00025,-0.00016,-0.00021,-0.00031,6e-05,8e-05
67.95,0.0585,0.0236,0.00662,-0.00023,-8e-05,-0.00025,-0.00015,-0.00021,-0.00032,6e-05,8e-05
68.54,0.05935,0.02403,0.00686,-0.00022,-7e-05,-0.00024,-0.00014,-0.00021,-0.00034,6e-05,8e-05
69.14,0.0602,0.02446,0.0071,-0.00021,-7e-05,-0.00024,-0.00013,-0.00021,-0.00035,5e-05,8e-05
69.73,0.06105,0.02489,0.00733,-0.0002,-6e-05,-0.00024,-0.00012,-0.00022,-0.00036,5e-05,8e-05
70.33,0.06189,0.02533,0.00757,-0.00019,-6e-05,-0.00024,-0.00011,-0.00022,-0.00038,5e-05,8e-05
70.92,0.06273,0.02576,0.0078,-0.00018,-5e-05,-0.00024,-0.0001,-0.00022,-0.00039,5e-05,8e-05
71.51,0.06355,0.02621,0.00804,-0.00016,-4e-05,-0.00023,-9e-05,-0.00022,-0.0004,4e-05,8e-05
72.11,0.06437,0.02665,0.00827,-0.00014,-4e-05,-0.00023,-8e-05,-0.00022,-0.00041,4e-05,8e-05
72.7,0.06518,0.02711,0.0085,-0.00012,-3e-05,-0.00023,-7e-05,-0.00022,-0.00042,4e-05,8e-05
73.29,0.06599,0.02757,0.00873,-9e-05,-3e-05,-0.00023,-6e-05,-0.00022,-0.00044,4e-05,8e-05
73.89,0.0668,0.02804,0.00896,-7e-05,-2e-05,-0.00022,-5e-05,-0.00022,-0.00045,3e-05,8e-05
74.48,0.06761,0.02851,0.0092,-4e-05,-1e-05,-0.00022,-4e-05,-0.00022,-0.00045,3e-05,8e-05
75.07,0.06844,0.02899,0.00944,-2e-06,-6e-06,-0.00022,-4e-05,-0.00022,-0.00046,3e-05,8e-05
75.67,0.06927,0.02947,0.00968,4e-05,2.67286e-07,-0.00021,-3e-05,-0.00022,-0.00047,2e-05,8e-05
76.26,0.07013,0.02996,0.00992,8e-05,7e-06,-0.00021,-2e-05,-0.00022,-0.00048,2e-05,8e-05
76.85,0.071,0.03045,0.01017,0.00012,1e-05,-0.00021,-9e-06,-0.00022,-0.00048,2e-05,8e-05
77.45,0.0719,0.03094,0.01043,0.00018,2e-05,-0.00021,-1e-06,-0.00022,-0.00049,1e-05,7e-05
78.04,0.07283,0.03142,0.01069,0.00023,3e-05,-0.0002,7e-06,-0.00021,-0.00049,1e-05,7e-05
78.63,0.07377,0.03191,0.01096,0.0003,3e-05,-0.0002,1e-05,-0.00021,-0.00049,7e-06,7e-05
79.23,0.07474,0.03239,0.01124,0.00036,4e-05,-0.0002,2e-05,-0.00021,-0.00049,3e-06,7e-05
79.82,0.07572,0.03287,0.01153,0.00044,5e-05,-0.00019,3e-05,-0.0002,-0.00049,-1e-06,7e-05
80.41,0.07671,0.03334,0.01182,0.00053,5e-05,-0.00019,4e-05,-0.0002,-0.00049,-5e-06,7e-05
81.01,0.07771,0.03382,0.01213,0.00062,6e-05,-0.00019,4e-05,-0.00019,-0.00048,-9e-06,6e-05
81.6,0.0787,0.03431,0.01245,0.00073,6e-05,-0.00019,5e-05,-0.00019,-0.00048,-1e-05,6e-05
82.19,0.07969,0.0348,0.01278,0.00086,7e-05,-0.00018,6e-05,-0.00018,-0.00047,-2e-05,6e-05
82.79,0.08066,0.0353,0.01313,0.001,7e-05,-0.00018,6e-05,-0.00017,-0.00046,-2e-05,6e-05
83.38,0.08164,0.03581,0.01348,0.00115,8e-05,-0.00018,7e-05,-0.00017,-0.00045,-3e-05,5e-05
83.97,0.08262,0.03634,0.01384,0.00133,8e-05,-0.00018,7e-05,-0.00016,-0.00043,-3e-05,5e-05
84.57,0.08361,0.03688,0.0142,0.00153,8e-05,-0.00017,8e-05,-0.00015,-0.00042,-3e-05,5e-05
